dataset,algorithm,k,g,p,Run_Time,KG_Time,Main_Time,Ng_Time,N^g_Count,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
Amazon,ASAP,8,8,0.8,2505.1558,2258.0022,246.6504,205.5547,186783.0,117544.0,4285363.0,750.0,37429.0
Amazon,ASAP,9,9,0.8,2486.0827,2305.6112,179.9496,143.2755,138297.0,94945.0,4285363.0,614.0,30410.0
Amazon,ASAP,10,10,0.8,2522.7927,2392.0496,130.2343,96.9421,105529.0,78066.0,4285363.0,473.0,27372.0
Amazon,ASAP,20,20,0.8,2626.4275,2597.9069,27.9962,8.5114,19315.0,18453.0,4285363.0,165.0,9621.0
Amazon,ASAP,30,30,0.8,2579.5611,2567.184,11.9408,1.582,6162.0,6141.0,4285363.0,72.0,2562.0
Amazon,ASAP,40,40,0.8,2566.9908,2558.6041,7.9592,0.8736,2472.0,2471.0,4285363.0,65.0,2360.0
Amazon,ASAP,50,50,0.8,2656.4863,2648.0289,8.1475,1.0915,1108.0,1078.0,4285363.0,57.0,2221.0
Amazon,ASAP,60,60,0.8,2591.68,2587.3584,4.1397,0.005,146.0,146.0,4285363.0,0.0,0.0
Amazon,ASAP,70,70,0.8,2566.2566,2562.2428,3.8347,0.0,0.0,0.0,4285363.0,0.0,0.0
Aminer,naive,3,3,0.0,1024.8058,1021.0816,2.9765,0.0,0.0,808177.0,17120546.0,808177.0,17120546.0
Aminer,naive,3,3,0.2,1036.733,1019.6355,16.3209,8.3849,231748.0,808177.0,17120546.0,806166.0,5083240.0
Aminer,naive,3,3,0.4,1052.3769,1018.3161,33.3043,19.0022,699888.0,808177.0,17120546.0,756495.0,2973934.0
Aminer,naive,3,3,0.6,1081.4074,1030.6029,50.0199,27.3938,1333695.0,808177.0,17120546.0,541198.0,1221553.0
Aminer,naive,3,3,0.8,1026.4624,981.2715,44.4201,18.051,1700384.0,808177.0,17120546.0,251449.0,332486.0
Aminer,naive,3,3,0.8,1077.342,1028.9085,47.6466,19.4884,1700384.0,808177.0,17120546.0,251449.0,332486.0
Aminer,naive,3,3,1.0,1064.7728,1026.3799,37.6042,8.1443,1648842.0,808177.0,17120546.0,87829.0,110703.0
Aminer,naive,3,4,0.0,1041.5795,1037.617,3.1662,0.0,0.0,379270.0,17120546.0,379270.0,17120546.0
Aminer,naive,3,4,0.2,1047.5329,1030.53,16.2198,7.4078,162649.0,379270.0,17120546.0,377020.0,3135230.0
